gene,description
CCDC88A,Up-regulated autophagy was negatively associated with Girdin level. There was a significant correlation between Girdin expression and lymph nodes metastasis in invasive ductal breast carcinoma.
CCDC88C,"Thus, Daple activates Galphai proteins and enhances non-canonical Wnt signaling by Frizzled receptors, and its dysregulation can impact both tumor initiation and progression to metastasis."
CCL1,These data identify a novel function for CCL1-CCR8 in metastasis and lymph node LECs as a critical checkpoint for the entry of metastases into the lymph nodes.
CCL14,CCL14 is a critical mediator of the JARID1B/LSD1/NuRD complex in regulation of angiogenesis and metastasis in breast cancer.
CCL18,"CCL18 derived from Tumor-associated macrophages (TAMs) lays a critical role in promoting breast cancer metastasis via its receptor, PITPNM3."
CCL18,Pyk2 and Src are important in CCL18-induced breast cancer metastasis
CCL18,"CCL18 is significantly up-regulated in breast cancer vs benign tumors or normal breast. It increased with the size of tumors, the number of lymph node metastasis, and advancing tumor stage."
CCL19,Our findings would suggest that CCL19 and CCL21 may not be associated with cervical lymph node metastasis or other clinical and microscopic factors in oral squamous cell carcinoma.
CCL2,CCL2 mediates the interaction between tumor-derived factors and host-derived chemokines acting in cooperation to promote skeletal metastasis of pancreatic cancer.
CCL2,"CCL2 and SNCG, combined with clinicopathologic features, may be used as accurate predictors of liver metastasis in colorectal cancer."
CCL2,CCL2 increases tumor growth and bone metastasis through recruitment of macrophages and OCs to the tumor site
CCL2,Gal-1 regulates CAF activation; targeting Gal-1 in CAFs inhibits OSCC metastasis by modulating MCP-1 expression
CCL2,"recruitment of inflammatory monocytes, which express CCR2, as well as the subsequent recruitment of metastasis-associated macrophages and their interaction with metastasizing tumour cells, is dependent on CCL2 synthesized by both the tumour and the stroma"
CCL2,CCL2 is critical for immunosuppression to promote cancer metastasis.
CCL2,"MCP-1 induces migration, invasion, epithelial-mesenchymal transformation, and intrahepatic metastasis of HCC ells through the induction of their miR-21 ."
CCL2,"visfatin was a prospective target for SCLC metastasis to brain, and understanding the molecular mediators would lead to effective strategies for inhibition of SCLC brain metastasis."
CCL2,"In HCC cell lines, IL8 activates expression of FOXC1 via the phosphoinositide 3-kinase signaling to AKT and hypoxia-inducible factor 1alpha. FOXC1 expression leads to transactivation of CXCR1 and CCL2, promoting inflammation and invasivion/metastasis."
CCL21,These results suggest that overexpression of CCL21 and CCL7 is associated with tumor metastasis and serves as a prognostic factor in patients with gastric cancer.
CCL21,Our findings would suggest that CCL19 and CCL21 may not be associated with cervical lymph node metastasis or other clinical and microscopic factors in oral squamous cell carcinoma.
CCL21,CCL21 promotes the metastasis of pancreatic cancer via epithelial-mesenchymal transition.
CCL22,lymph node metastasis of CCR4(+) HNSCC is promoted by CCL22 in an autocrine or M2-like macrophage-dependent paracrine manner.
CCL3,Significantly higher expression of CCL3 is associated with tumor metastasis and local host defense in oral squamous cell carcinoma
CCL3,"Pleural and serum MIP1a were lower in patients with lung cancer compared to lung metastasis, pneumonia, tuberculosis, and transudate pleural effusion."
CCL5,RANTES and its receptor CCR5 may contribute to gastric cancer metastasis through influencing the balance of Th1/Th2.
CCL5,High CCL5 expression is associated with osteosarcoma progression and metastasis.
CCL5,"our findings showed that CCL5/CCR3 signaling promotes metastasis by inducing Th2 polarization of CD4 T cells, with implications for prognosis and immunotherapy of luminal breast cancer."
CCL5,CCL5 signals from infiltrating bone marrow mesenchymal stem cells to HIF2alpha signals within prostate cancer (PCa) cells might play a key role to increase PCa stem cell population and PCa metastasis via altering the androgen receptor signals
CCL7,These results suggest that overexpression of CCL21 and CCL7 is associated with tumor metastasis and serves as a prognostic factor in patients with gastric cancer.
CCL7,"These results suggest that let-7d may suppress renal cell carcinoma growth, metastasis, and tumor macrophage infiltration at least partially through targeting COL3A1 and CCL7."
CCL8,Dermal fibroblast CCL8 promotes melanoma metastasis.
CCNA2,Cyclin A overexpression was significantly associated with poor metastasis-free survival both on tissue microarrays and large sections in breast cancer.
CCNA2,cyclin A expression predicted 100% of the patients at risk for metastasis of rectal neuroendocrine tumors.
CCNB1,increases significantly during colorectal carcinogenesis and during later metastasis to lymph nodes
CCNB1,cyclin B1 may have a role in esophageal squamous cell carcinoma invasive growth and metastasis
CCNB1,the expression of cyclin B1 was associated with regional lymph node metastasis and poor prognosis in gastric cancer.
CCNB1,"Cyclin B1 could suppress the invasion and metastasis of colorectal cancer cells through regulating E-cadherin expression, which enables the development of potential intervention strategies for colorectal cancer."
CCNB2,The relative expression level of circulating CCNB2 mRNA in cancer patients was significantly higher than that in normal controls and benign diseases group. Circulating CCNB2 mRNA level significantly correlated with cancer stage and metastasis status.
CCND1,Cyclin D1 promotes cellular motility through inhibiting ROCK signaling and repressing the metastasis suppressor TSP-1.
CCND1,cyclin D1 may have a central role in mediating invasion and metastasis of cancer cells by controlling Rho/ROCK signaling and matrix deposition of TSP-1 [review]
CCND1,Expression of membranous beta-catenin in salivary adenoid cystic carcinoma was down-regulated in most of the patients with lymph node metastasis.
CCND1,MIF and cyclin D1 might be related to the growth and metastasis of hepatocellular carcinoma.
CCND1,"Loss of p16/Rb protein expression and overexpression of cyclin D1/CDK4 were observed in 49%/40% and 37%/37% of gastric carcinomas, respectively.Cyclin D1 and CDK4 overexpession was inversely associated with lymph node metastasis and depth of invasion."
CCND1,cyclin D1 expression was significantly correlated with lymphatic metastasis and neoplasm invasiveness in papillary thyroid carcinoma.
CCND1,"Perioperative total parenteral nutrition has no significant impact on the expression of cyclin D1, recurrence or metastasis of colorectal cancer."
CCND1,"miR-9 suppresses the expression of cyclin D1 and Ets1 via the binding sites in their 3'-UTR, thus inhibiting the proliferation, invasion and metastasis of gastric cancer."
CCND1,"KAI1/CD82 and cyclinD1 may serve as markers for determination of invasiveness, metastasis and prognosis of laryngeal squamous cell carcinoma."
CCND1,The positive relation observed between tumor metastasis and cyclinD1 expression and p16 with nodal metastasis suggested that higher cyclin D1/p16 expression may act as a predictive biomarker for aggressive behavior of gallbladder malignancies.
CCND1,Altered expression of cyclin D1 is associated with lymph node metastasis and risk of UCB recurrence. Cyclin D1 expression may therefore have clinical value as a prognostic marker and potential therapeutic target
CCND1,Suggest a role for cyclin D1b as a possible mediator of alphavbeta3 transcription to promote breast tumor metastasis.
CCND1,Data suggest that RKIP inhibits gastric cancer metastasis via the downregulation of its downstream target genes STAT3 and cyclin D1.
CCND1,both amplification of CCND1 and protein overexpression of cyclin D1 significantly correlate with lymph node metastasis in oral squamous cell carcinoma
CCND1,"CCND1 was identified as the target gene of miR-195, which functions as a osteosarcoma metastasis suppressor gene by down-regulating CCND1."
CCND2,"In colorectal adenocarcinoma expression of cyclin D2 at the margin was associated with vascular invasion, lymph node metastasis and liver metastasis"
CCNG1,does not increase significantly during colorectal carcinogenesis and during later metastasis to lymph nodes.
